attack_relative_s,timestamp,dpid,port,rx_mbps,hits,blocked,action
-38.243688344955444,1788102750.88397,1,1,0.0,0,0,
-36.241833448410034,1788102752.885825,1,1,0.0,0,0,
-34.23997139930725,1788102754.887687,1,1,0.0,0,0,
-32.239052295684814,1788102756.888606,1,1,0.0,0,0,
-30.237799406051636,1788102758.889859,1,1,0.0,0,0,
-28.236156463623047,1788102760.891502,1,1,0.0,0,0,
-26.2346932888031,1788102762.892965,1,1,0.0,0,0,
-24.233306407928467,1788102764.894352,1,1,0.0,0,0,
-22.231548309326172,1788102766.89611,1,1,0.0,0,0,
-20.230132341384888,1788102768.897526,1,1,0.0,0,0,
-18.229318380355835,1788102770.89834,1,1,0.0,0,0,
-16.22868847846985,1788102772.89897,1,1,0.0,0,0,
-14.22826337814331,1788102774.899395,1,1,0.0,0,0,
-10.461413383483887,1788102778.666245,1,1,0.0,0,0,
-8.459569454193115,1788102780.668089,1,1,0.0,0,0,
-6.458419322967529,1788102782.669239,1,1,0.0,0,0,
-4.457311391830444,1788102784.670347,1,1,0.0,0,0,
-2.456651449203491,1788102786.671007,1,1,0.0,0,0,
-0.4554574489593506,1788102788.672201,1,1,0.0,0,0,
1.546257734298706,1788102790.673916,1,1,1.831,1,0,
3.5475776195526123,1788102792.675236,1,1,1.668,2,0,
5.549092531204224,1788102794.676751,1,1,1.668,0,1,DROP_INSTALLED
7.550035715103149,1788102796.677694,1,1,71.534,0,1,BLOCK_ACTIVE
9.552308559417725,1788102798.679967,1,1,20.58,0,1,BLOCK_ACTIVE
11.553041696548462,1788102800.6807,1,1,20.578,0,1,BLOCK_ACTIVE
13.554972648620605,1788102802.682631,1,1,20.584,0,1,BLOCK_ACTIVE
15.556078672409058,1788102804.683737,1,1,15.81,0,1,BLOCK_ACTIVE
17.557674646377563,1788102806.685333,1,1,0.001,0,1,BLOCK_ACTIVE
19.560017585754395,1788102808.687676,1,1,0.0,0,1,BLOCK_ACTIVE
23.335773706436157,1788102812.463432,1,1,0.0,0,1,BLOCK_ACTIVE
25.336848735809326,1788102814.464507,1,1,0.001,0,1,BLOCK_ACTIVE
27.338830709457397,1788102816.466489,1,1,0.0,0,0,
29.34014368057251,1788102818.467802,1,1,0.0,0,0,
31.341810703277588,1788102820.469469,1,1,0.004,0,0,
33.34319853782654,1788102822.470857,1,1,0.0,0,0,
35.345757722854614,1788102824.473416,1,1,0.0,0,0,
37.346534729003906,1788102826.474193,1,1,0.0,0,0,
39.34783172607422,1788102828.47549,1,1,0.0,0,0,
41.349294662475586,1788102830.476953,1,1,0.0,0,0,
43.35080051422119,1788102832.478459,1,1,0.0,0,0,
45.3524706363678,1788102834.480129,1,1,0.0,0,0,
47.35399651527405,1788102836.481655,1,1,0.0,0,0,
49.35605454444885,1788102838.483713,1,1,0.0,0,0,
51.357088565826416,1788102840.484747,1,1,0.0,0,0,
53.35877752304077,1788102842.486436,1,1,0.0,0,0,
57.25838565826416,1788102846.386044,1,1,0.0,0,0,
59.26060461997986,1788102848.388263,1,1,0.0,0,0,
61.26078963279724,1788102850.388448,1,1,0.0,0,0,
63.26244568824768,1788102852.390104,1,1,0.0,0,0,
65.26344060897827,1788102854.391099,1,1,0.0,0,0,
67.26561164855957,1788102856.39327,1,1,0.0,0,0,
69.26705574989319,1788102858.394714,1,1,0.0,0,0,
71.26700758934021,1788102860.394666,1,1,0.0,0,0,
73.268319606781,1788102862.395978,1,1,0.0,0,0,
75.26935052871704,1788102864.397009,1,1,0.0,0,0,
77.27167558670044,1788102866.399334,1,1,0.0,0,0,
79.27354764938354,1788102868.401206,1,1,0.0,0,0,
81.2751796245575,1788102870.402838,1,1,0.0,0,0,
83.27498769760132,1788102872.402646,1,1,0.0,0,0,
85.27733564376831,1788102874.404994,1,1,0.0,0,0,
87.27822256088257,1788102876.405881,1,1,0.0,0,0,
91.12422466278076,1788102880.251883,1,1,0.0,0,0,
93.12525963783264,1788102882.252918,1,1,0.0,0,0,
95.1263906955719,1788102884.254049,1,1,0.0,0,0,
97.12650752067566,1788102886.254166,1,1,0.0,0,0,
99.12790751457214,1788102888.255566,1,1,0.0,0,0,
101.12893867492676,1788102890.256597,1,1,0.0,0,0,
103.1303915977478,1788102892.25805,1,1,0.0,0,0,
105.1342716217041,1788102894.26193,1,1,0.0,0,0,
107.13465762138367,1788102896.262316,1,1,0.0,0,0,
109.13508367538452,1788102898.262742,1,1,0.0,0,0,
111.13636255264282,1788102900.264021,1,1,0.0,0,0,
113.13792061805725,1788102902.265579,1,1,0.0,0,0,
115.14082765579224,1788102904.268486,1,1,0.0,0,0,
117.14145469665527,1788102906.269113,1,1,0.0,0,0,
119.14234066009521,1788102908.269999,1,1,0.0,0,0,
121.14408564567566,1788102910.271744,1,1,0.0,0,0,
124.89855766296387,1788102914.026216,1,1,0.0,0,0,
126.89988851547241,1788102916.027547,1,1,0.0,0,0,
128.90151572227478,1788102918.029174,1,1,0.0,0,0,
130.90217351913452,1788102920.029832,1,1,0.0,0,0,
132.90447068214417,1788102922.032129,1,1,0.0,0,0,
134.90568661689758,1788102924.033345,1,1,0.0,0,0,
136.90781474113464,1788102926.035473,1,1,0.0,0,0,
138.90894770622253,1788102928.036606,1,1,0.0,0,0,
140.91158652305603,1788102930.039245,1,1,0.0,0,0,
142.91168069839478,1788102932.039339,1,1,0.0,0,0,
144.91259670257568,1788102934.040255,1,1,0.0,0,0,
