scenario,timestamp,sample_time_s,attack_relative_s,rtt_ms
E2,1788101630.131647,13.076577186584473,-8.24022388458252,0.024
E2,1788101630.64366,13.588590145111084,-7.728210926055908,0.026
E2,1788101631.155649,14.100579023361206,-7.216222047805786,0.026
E2,1788101631.667657,14.612586975097656,-6.704214096069336,0.026
E2,1788101632.179688,15.12461805343628,-6.192183017730713,0.038
E2,1788101632.691689,15.636619091033936,-5.680181980133057,0.033
E2,1788101633.203694,16.148624181747437,-5.168176889419556,0.048
E2,1788101633.715678,16.660608053207397,-4.656193017959595,0.038
E2,1788101634.227679,17.172609090805054,-4.1441919803619385,0.041
E2,1788101634.739728,17.68465805053711,-3.632143020629883,0.055
E2,1788101635.25173,18.196660041809082,-3.12014102935791,0.052
E2,1788101635.76365,18.708580017089844,-2.6082210540771484,0.026
E2,1788101636.275706,19.220636129379272,-2.0961649417877197,0.049
E2,1788101636.787716,19.732645988464355,-1.5841550827026367,0.047
E2,1788101637.299655,20.244585037231445,-1.0722160339355469,0.026
E2,1788101637.811901,20.756831169128418,-0.5599699020385742,0.061
E2,1788101638.3237,21.268630027770996,-0.048171043395996094,0.04
E2,1788101638.835721,21.780651092529297,0.4638500213623047,0.052
E2,1788101639.347686,22.29261612892151,0.9758150577545166,0.037
E2,1788101639.859657,22.8045871257782,1.487786054611206,0.027
E2,1788101640.371689,23.316619157791138,1.9998180866241455,0.032
E2,1788101640.88374,23.828670024871826,2.511868953704834,0.05
E2,1788101641.395673,24.34060311317444,3.0238020420074463,0.038
E2,1788101642.187675,25.13260507583618,3.8158040046691895,280.0
E2,1788101642.72898,25.67391014099121,4.357109069824219,336.0
E2,1788101643.210715,26.15564513206482,4.838844060897827,338.0
E2,1788101643.692456,26.637386083602905,5.320585012435913,337.0
E2,1788101644.17419,27.119120121002197,5.802319049835205,338.0
E2,1788101644.655906,27.600836038589478,6.284034967422485,339.0
E2,1788101645.135232,28.080162048339844,6.763360977172852,337.0
E2,1788101645.617024,28.561954021453857,7.245152950286865,337.0
E2,1788101646.098842,29.043771982192993,7.726970911026001,338.0
E2,1788101646.580539,29.525469064712524,8.208667993545532,338.0
E2,1788101647.060056,30.00498604774475,8.688184976577759,336.0
E2,1788101647.544163,30.48909306526184,9.172291994094849,338.0
E2,1788101648.025886,30.970816135406494,9.654015064239502,339.0
E2,1788101648.507635,31.45256519317627,10.135764122009277,339.0
E2,1788101648.986947,31.93187713623047,10.615076065063477,337.0
E2,1788101649.468769,32.41369915008545,11.096898078918457,337.0
E2,1788101649.950421,32.89535117149353,11.578550100326538,337.0
E2,1788101650.432157,33.377087116241455,12.060286045074463,337.0
E2,1788101650.913923,33.85885310173035,12.542052030563354,339.0
E2,1788101651.395651,34.34058117866516,13.023780107498169,338.0
E2,1788101651.874928,34.81985807418823,13.50305700302124,337.0
E2,1788101652.356648,35.30157804489136,13.984776973724365,336.0
E2,1788101654.453723,37.39865303039551,16.081851959228516,226.0
E2,1788101654.948041,37.89297103881836,16.576169967651367,225.0
E2,1788101655.442086,38.38701605796814,17.070214986801147,225.0
E3,1788102769.249371,0.0,-19.878287315368652,2.73
E3,1788102769.747913,0.49854183197021484,-19.379745483398438,0.216
E3,1788102770.274922,1.0255508422851562,-18.852736473083496,0.065
E3,1788102770.786837,1.537466049194336,-18.340821266174316,0.044
E3,1788102771.298863,2.0494918823242188,-17.828795433044434,0.053
E3,1788102771.811015,2.5616438388824463,-17.316643476486206,0.123
E3,1788102772.322873,3.0735020637512207,-16.80478525161743,0.05
E3,1788102772.83482,3.585448980331421,-16.29283833503723,0.034
E3,1788102773.346907,4.097535848617554,-15.780751466751099,0.04
E3,1788102773.858911,4.609539985656738,-15.268747329711914,0.045
E3,1788102774.37085,5.121479034423828,-14.756808280944824,0.057
E3,1788102774.88283,5.633458852767944,-14.244828462600708,0.049
E3,1788102777.159973,7.910601854324341,-11.967685461044312,0.066
E3,1788102777.671991,8.422620058059692,-11.45566725730896,0.066
E3,1788102778.183992,8.93462085723877,-10.943666458129883,0.057
E3,1788102778.69596,9.44658899307251,-10.431698322296143,0.032
E3,1788102779.207983,9.958611965179443,-9.919675350189209,0.029
E3,1788102779.719978,10.470607042312622,-9.40768027305603,0.049
E3,1788102780.231974,10.982602834701538,-8.895684480667114,0.062
E3,1788102780.74395,11.494578838348389,-8.383708477020264,0.039
E3,1788102781.256043,12.006671905517578,-7.871615409851074,0.088
E3,1788102781.767955,12.51858401298523,-7.359703302383423,0.031
E3,1788102782.280013,13.030642032623291,-6.847645282745361,0.065
E3,1788102782.79194,13.542568922042847,-6.335718393325806,0.033
E3,1788102783.30397,14.054599046707153,-5.823688268661499,0.06
E3,1788102783.815936,14.566565036773682,-5.311722278594971,0.029
E3,1788102784.327986,15.078614950180054,-4.799672365188599,0.032
E3,1788102784.839921,15.590549945831299,-4.2877373695373535,0.025
E3,1788102785.352032,16.10266089439392,-3.7756264209747314,0.026
